STATION,Abetifi,Aburi,Accra,Ada,Akatsi,A_Oda,Akuse,Asaman,Atebubu,Axim,Babile,Bechem,Bimbila,Bole,Bolga,Bui,C_Coast,Damongo,Dormaa ,Dunkwa,Ejura,Garu,Goaso,H_Assini,Ho,Kade,Krachi,Kintampo,Koforidua,Kpandu,Kumasi,M_Bawku,Mim,Navrongo,Prang,S_Bekwai,Salaga,Saltpond,Sunyani,Takoradi,Tamale,Tarkwa,Tema,Vea,Wa,Walewale,Wenchi,Yendi,Zuarungu
2008,627.8000004,606.9976158,713.5000005,456.2,496.7999998,484.5,456.6999998,563.5966621,612,860.0648863,352,401.3999999,259.6,239.8000001,209.3,490.7,504.5999999,338.9,414.7999998,589.4000001,587.7000003,-999,379.5000001,1009.6,511.1484355,481.5990463,517.0990463,-999,401.489718,591.0000002,651.1000001,243.8991655,407.1999999,252.8,405.8000001,616.2,310.3997616,541.0999999,511.3202232,675.7739136,334.5999999,836.9000001,275.5,199.3,298.3763747,270.9,281.1436437,372.8999997,197.1999999
2009,555.7,465.3997616,389.9999999,577.1999998,613.3999994,565.2999997,433.5999999,543.9976158,506.3000002,1093.944408,272,526.8,430.1,360.1999999,264.8,356.5,686.7999997,393.3000002,375.6999999,725.0000005,554.6980927,-999,499.5000001,1730,385.5774951,558.4000001,419.5,377.8000001,645.3066015,436.3000001,459.7000002,309.9000001,-999,278,434.8997616,657.6000001,405.6992847,539.4000003,494.63693,714.0922873,714.3999996,728.3,460.1999999,349.3997616,410.8880582,286.5,418.8182839,486.2000002,316.4999999
2010,361.9,579.8985695,419.9000001,442.6999999,189.3,720.8000002,299.3000001,502.8985695,563.9000001,1161.363421,268.5,308.5999999,285.0000001,454.9000001,315.3000002,511.6,460.5,438.6000001,546.8000004,341.5000001,517.8985695,273.8997616,449.1,1061.099999,494.0903486,539.3985695,284.8997616,846.4952316,477.8923875,371.1999998,680.8000002,284.1992847,739.3000002,376.7,350.2,516.6000001,500.297139,531.7000003,637.6855872,784.0329428,209.6000001,574.6000004,439.1000001,249.6992847,380.6347483,303.9,548.3457022,433.9000001,387
2011,405.0000001,368.6,500.1999999,511.8999996,489.6999998,459.1999999,346.6999999,479.9952316,422.1000001,1022.316348,327.4,393.9999998,335.5990463,333.6999998,250.6,512,553.8000002,337.5,519.0000002,665.3000002,513.9000001,131.3,745.3000002,1116.199999,411.9228657,460.3000001,291.2000002,407.7,324.2924819,458.6999999,270.2,233.3997616,-999,394.8,290.4000002,568.5000002,278.9988079,632.5,502.7043136,509.5807227,292.9999999,916.7,425.5999999,280.3997616,313.3368915,213.7,480.0665798,509.5,225.8000001
2012,610.2,463.7995232,338.0999999,481.1,314.6,481.1,367.1000001,548.797139,753.5999997,789.2083294,295.2,-999,-999,460.3000001,359.2000002,589.4,686.5999999,477.1999997,320.2,691.0999999,-999,188.2995232,547.4999998,861.3000007,620.1296926,613.0000007,558.2,565.1980927,438.1734965,382.4999999,467.1999999,280.8997616,-999,333.6000001,474.6,262.2000002,530.0990463,486.4,524.8,349.9725363,350.5,649.3000002,326.7000002,-999,310.8949858,324.9,474.9393601,452.1999999,291.4
2013,308.7,-999,260.0999999,416.9,412.6,416.9,329.0999998,165.3997616,414.1000001,452.8750492,229.9999999,-999,476.3985695,382.6,234.8,455.1,-999,312.8,386.7000002,326.7,479.1000003,-999,354.3999999,977.0999999,306.5484456,308.8000001,441.2995232,595.1000001,477.6065102,323.9,769.5,277.3997616,591.7,318.5,393.2,536.5000002,443.8973774,401.0999999,515.4000001,207.3160616,198.4,438.0999999,301.3,161.0990463,257.5509433,342.5,445.50653,404.1999998,210.8000001
2014,665.2000003,186.9,409.1000001,373.6000001,248.9,522.9000001,446.3999999,436.2000003,499,1155.5,242.4999999,760.3999996,-999,287.8,200.3,263.4,578.7,419.0000002,522.9000001,607.3,684.0990463,237.5996424,475.1999999,1601.5,479.0999999,884.0000005,510,595.5990463,284.1183184,268,392.6,215.2,1245.4,165.8999999,595.1000001,483.5000001,400,691.0999999,523.7,560.5,209.3,789.9000003,410.8000001,254.2,359.4,256.9,528.5,318.0999999,282.0999999
2015,505.0000004,369.3000001,563,413.9999998,365.6999999,320.4000001,336.4,530.8985695,260.5,650.6999998,136.1,345.9,242.8991655,173.4,213.1,229.5,758.8,196.5,343.5000001,-999,-999,172.5,501.5,731.3,383.4999999,461.4988079,251.999404,328.2000002,-999,413.6999999,491.3,168.1998808,-999,194.1,394.2995232,442.4999999,281.6,570.5999999,425.2000002,534.3999999,192.1,290.4,630.5,193.5996424,156.7,186.7,295.4000001,101.6,295.8
2016,353.5999997,-999,354.9,263.5,-999,366.8,339.4,-999,344.3999999,763.5999997,-999,300.1,600.1980927,316,318.3,187.6,448.5,166.9,187.3999999,435.5,297.7983311,215.6998808,522.3999999,747.0000002,369.4000001,502.6000001,240.499404,390.9000001,360.6999999,290.1999999,358.1,213.7,535.3,99.09999999,301.6,391.5000001,389.4000001,339.3000001,426.5999999,223.2,229.3000001,868.7999997,182.8,334.3997616,298.8,253.5999999,465.8000001,295.6,324.6
2017,662.2000005,498,367,363.1999998,544.1000001,808.0999999,738.7,591.1957085,417.0999999,1125.7,-999,535.2,-999,514.3999999,348.8000002,547.8,489.0000002,435.1,495.3000002,979.9000001,376.3997616,258.7995232,463.7,1102.6,598.9999998,614.6000004,429.7000002,595.2995232,478.3000001,414.1999998,316.4999999,271,461.6,439.9999998,719.3000002,500.9999996,382.2,566.8,298.9000001,-999,349.6000001,709.4000001,627.7,341.7995232,413.7,346.9,-999,363.1999998,125.4
2018,337.3000001,217.9,349.2,332.8999999,449.9,529.3,474.8000001,304.5000002,455.7999998,673.5999999,280.8,480.2000002,656.7,319.6,336.0000001,-999,452.8000001,432.5000001,288.6000001,664.7000003,518.5,248.6000001,543.3,1096.699999,323.5000001,612.8000002,323.5990463,407.8000001,363.1999998,425.1999999,551.8,247.4,640.3999999,230.6000001,439.3000001,337.3000001,382.1,525,457.4999996,668.8,470.5,869.8000002,336,324.5,380.9000001,310.3,327.1000001,401.8,179.8999999
2019,414.4000001,316.3000002,537.4999998,346.6000004,616.5000005,561.5,443.1000003,371.7,372.6,1049.200001,-999,444.8,414.4000001,215.3,287.1,-999,449.3000001,332,325.5999999,831.4000003,561.3999999,228.9,708.6000001,-999,494.4999999,660.8000004,401.5999998,481.7999998,539.7,540.0000002,647.1999998,245.6000001,724.5,308.0999999,628.6999998,510.7000002,353.7,402.9000001,403.6,595.6999998,322.3999999,732.8,269.8000001,210.3000001,322.5,114,629.1000001,291.6534278,277.1
2020,488.2999998,-999,355.2,461.1999998,292.4999998,609,410,442.9999998,439.1999999,1310.5,188.5,535.7,322.1,394.1,321.0999999,267.1,447.9,417.6,535.7999997,564.3000002,582.9000001,195.0000001,578.8999999,1209.6,528.5999999,744.8,633.8999999,432.1999999,415.5999999,359.4999999,592.5999999,279.6,517.3999999,221.1,452.4000003,580.6999996,410.1,406.4999998,487.1,548.9000001,369.4999999,555.4999998,412.0999999,307.6999999,492.4000002,257.6,408.2,470.5,417.0000001
2021,487.6999997,-999,177.8,161.3,407.4999999,520,320,312.9,534.7,600.8,300.2,511.8000001,366.2,217,248.6,359.9,385.3000001,357.2,363.3,463.7,432.5000001,244.9,378.8999997,419.5,514.7,554.0999999,176.2,293.1999999,382,350.4000001,595.3999999,281.8,397.0999999,244.8,531.7,334.1000001,347.3999999,337,319.9,265,311.8000002,309.7,211.4,265.2,397,268,391.2,376.6999999,305.1999999
2022,587.7,-999,606,389.5,753.7,482.1,447.9,411.6,414.8,1569.5,320.4,392.2,473.3,373.4,315.3,38.6,540.5,484,476,379.9,642.2,224.3,447.4,1323.5,677.2,838,543.1,532.4,501.1,538,441,-999,724.3,283.8,710.6,661,626.6,665.3,537.9,1197.4,339.1,-999,479.4,191.4,427.2,254.7,566.7,420.9,247.2
2023,409.6,-999,488.5,-999,544.6,687.3,579.9,340.4,378.7,1324,377.8,355.1,219.8,326.8,286,531.4,560.1,417.3,289.6,466.6,498.8,180.1,348.6,1001.8,570.9,650.2,404.6,580.9,448.7,621,642.6,-999,430,228.4,456.3,812.3,566.7,359.5,381.5,738.8,412.8,-999,560.4,316.1,415.5,301.1,505.1,268.9,291.6
2024,512.9,-999,460.7,379.5,577.4,911.5,342.1,516.7,385,774.5,234.3,780.4,366.9,343.9,195.5,456.1,395.5,433.2,247.4,505.6,544.3,244.1,689.5,1263.2,374.3,530.8,338.7,376.1,499.8,488.4,653.3,-999,540.9,275.5,409,595.7,712,444.9,589.1,976.6,325.1,-999,390.2,247.8,255.4,163.6,479.3,480.5,195.3
2025,642.8,-999,321.5,559.6,490.2,641.3,425.8,574.4,501.3,1143.6,153.9,626.7,193.4,348.7,267.6,545.4,629.3,349.7,254,427.7,358.6,-999,648.1,685.7,538.5,440,264.4,495.5,700.6,307.8,465.6,-999,538.7,377.4,459.8,600.5,186.1,437.9,555.8,657.9,318.3,-999,320.4,-999,283.7,214.9,530.4,338.7,193.3
